date,weight,tags,calories,protein,fat,carbohydrate,fibre
18/02/2018,,,,,,,
19/02/2018,154.00,tracked,2068,130,65,250,18
20/02/2018,154.00,tracked,2193,155,75,224,17
21/02/2018,152.80,tracked,2063,130,65,250,26
22/02/2018,152.20,tracked,2038,130,65,250,32
23/02/2018,150.80,tracked,2071,130,65,250,23
24/02/2018,151.80,tracked,2032,131,65,250,20
25/02/2018,151.20,tracked,2161,130,56,294,15
26/02/2018,151.80,tracked,2077,130,65,250,16
27/02/2018,151.20,tracked,2100,131,65,251,20
28/02/2018,150.00,tracked,2114,131,65,248,14
01/03/2018,149.60,tracked,2178,132,65,247,31
02/03/2018,151.20,tracked,2083,130,65,250,18
03/03/2018,150.40,tracked,2433,135,62,321,17
04/03/2018,150.40,tracked,2445,146,52,334,8
05/03/2018,150.80,tracked,1822,130,55,200,12
06/03/2018,150.60,tracked,1802,130,55,200,26
07/03/2018,150.80,tracked,1813,130,55,200,19
08/03/2018,149.10,tracked,1805,130,54,199,20
09/03/2018,148.00,tracked,1785,130,55,200,10
10/03/2018,,,2320,134,72,303,27
11/03/2018,148.00,tracked,2360,130,75,300,26
12/03/2018,149.20,tracked,1623,130,45,180,15
13/03/2018,149.20,tracked,1636,130,45,179,18
14/03/2018,148.80,tracked,1625,130,45,180,10
15/03/2018,149.00,tracked,1631,131,44,181,18
16/03/2018,147.80,tracked,1615,128,35,135,6
17/03/2018,147.40,tracked,2580,130,75,351,28
18/03/2018,149.80,tracked,2580,131,75,351,27
19/03/2018,149.40,tracked,1635,130,45,180,13
20/03/2018,147.60,tracked,1621,130,44,182,12
21/03/2018,146.80,tracked,1635,130,45,180,17
22/03/2018,146.00,tracked,1609,144,38,180,13
23/03/2018,146.80,tracked,1666,130,43,185,26
24/03/2018,145.80,tracked,2891,115,64,447,24
25/03/2018,146.60,tracked,2788,111,65,449,34
26/03/2018,148.20,tracked,1678,141,45,172,17
27/03/2018,146.40,tracked,1662,140,40,180,13
28/03/2018,147.20,tracked,1639,140,40,180,16
29/03/2018,146.60,tracked,1651,142,41,176,10
30/03/2018,146.80,tracked,2947,154,61,415,22
31/03/2018,146.80,tracked,1600,140,36,188,18
01/04/2018,146.80,tracked,2779,115,84,402,26
02/04/2018,148.40,tracked,1632,140,40,179,10
03/04/2018,147.00,tracked,1677,140,40,180,14
04/04/2018,147.20,untracked,,,,,
05/04/2018,,,2262,110,65,300,15
06/04/2018,148.00,alcohol,2302,106,61,164,7
07/04/2018,146.20,eatingout,,,,,
08/04/2018,148.20,untracked,,,,,
09/04/2018,148.20,tracked,2249,111,65,300,23
10/04/2018,148.80,tracked,2271,110,65,300,22
11/04/2018,148.80,tracked,2280,118,56,310,16
12/04/2018,149.40,tracked,2312,124,49,322,16
13/04/2018,149.80,tracked,2347,127,55,301,6
14/04/2018,149.80,tracked,1992,127,75,206,20
15/04/2018,150.00,tracked,2207,112,65,298,28
16/04/2018,149.40,tracked,1528,140,40,150,11
17/04/2018,148.80,tracked,1542,140,39,152,21
18/04/2018,148.40,tracked,1538,140,40,150,13
19/04/2018,148.80,tracked,1618,140,50,150,24
20/04/2018,147.80,tracked,1529,140,25,180,20
21/04/2018,145.80,tracked,2873,110,65,450,28
22/04/2018,145.20,tracked,2849,110,65,450,20
23/04/2018,147.00,tracked,1523,140,25,180,15
24/04/2018,146.60,tracked,1496,139,25,181,14
25/04/2018,146.40,tracked,1540,140,25,180,18
26/04/2018,147.80,tracked,1497,140,29,174,16
27/04/2018,146.40,tracked,2890,148,56,453,28
28/04/2018,146.60,"untracked, freeday",,,,,
29/04/2018,147.20,tracked,1500,140,25,180,14
30/04/2018,147.80,tracked,1490,140,25,180,16
01/05/2018,145.40,tracked,1511,140,35,159,14
02/05/2018,145.80,tracked,1494,140,25,180,30
03/05/2018,146.20,tracked,1538,140,25,180,21
04/05/2018,146.40,tracked,3040,161,29,456,27
05/05/2018,144.80,tracked,2580,110,61,400,11
06/05/2018,145.20,tracked,2613,168,74,322,15
07/05/2018,149.20,tracked,1510,140,25,180,21
08/05/2018,146.00,tracked,1500,140,25,180,23
09/05/2018,145.80,tracked,1474,140,18,192,18
10/05/2018,144.60,tracked,1781,110,31,280,15
11/05/2018,144.80,tracked,2284,153,42,316,23
12/05/2018,146.80,tracked,2626,130,58,395,10
13/05/2018,146.80,tracked,2649,128,54,407,9
14/05/2018,146.80,travel,1526,140,24,183,5
15/05/2018,146.80,,1546,140,27,175,10
16/05/2018,145.20,untracked,,,,,
17/05/2018,148.00,tracked,1506,140,25,180,7
18/05/2018,146.00,tracked,2651,110,83,359,11
19/05/2018,144.00,tracked,2580,112,58,398,16
20/05/2018,145.00,tracked,2630,110,65,400,13
21/05/2018,147.00,tracked,1578,161,25,179,17
22/05/2018,147.00,tracked,1679,163,33,162,12
23/05/2018,146.80,"overeating, drinking",,,,,
24/05/2018,146.40,untracked,,,,,
25/05/2018,147.00,untracked,,,,,
26/05/2018,,travel,,,,,
27/05/2018,147.40,untracked,,,,,
28/05/2018,148.40,tracked,1558,162,23,183,29
29/05/2018,146.60,tracked,1580,164,25,176,17
30/05/2018,146.80,tracked,1616,162,30,167,4
31/05/2018,145.00,tracked,1615,160,41,144,21
01/06/2018,146.00,tracked,1591,162,23,181,10
02/06/2018,144.60,tracked,2893,164,77,400,10
03/06/2018,147.20,tracked,2760,163,58,397,20
04/06/2018,148.80,tracked,1436,151,35,124,7
05/06/2018,146.60,tracked,1490,160,36,125,11
06/06/2018,147.00,tracked,1471,163,24,149,9
07/06/2018,145.20,tracked,1591,176,50,104,6
08/06/2018,144.20,tracked,2545,143,80,288,4
09/06/2018,145.80,tracked,1600,180,47,105,7
10/06/2018,144.80,"eatingout, untracked",,,,,
11/06/2018,146.80,,1591,180,50,100,15
12/06/2018,147.80,,1596,180,50,100,5
13/06/2018,146.80,"highsodium, untracked",,,,,
14/06/2018,145.60,,1575,179,38,131,10
15/06/2018,146.60,untracked,,,,,
16/06/2018,148.60,tracked,1599,181,50,100,14
17/06/2018,147.60,tracked,1593,184,48,105,4
18/06/2018,147.60,tracked,1584,181,50,99,17
19/06/2018,147.20,tracked,1569,181,50,99,12
20/06/2018,145.40,tracked,1557,184,50,95,12
21/06/2018,146.00,tracked,1601,180,22,169,10
22/06/2018,145.60,tracked,1427,155,36,118,6
23/06/2018,145.50,untracked,,,,,
24/06/2018,148.60,,1575,181,49,100,9
